Student_ID	Fname-Lname	Gender	BirthDay	Address_1	Address_2	Email	Program	Campus	Start_Date	
5036805	Mindy Herman	F	1-234-927-2639	998 Clinton Road	Sylvania, OH 43560	MHERMAN	BSSWE	FR	2019-01-01
5805204	Zdzistaw Kruszynski	M	1-464-123-8395	426 Cedarwood Rd.	Hickory, NC 28601	ZKRUSZYN1	BSSWE	FR	2021-05-01
5114820	Carlton Douglas	M	1-745-655-1880	322 E. College Street	North Olmsted, OH 44070	CDOUGLAS	BSSWE	FR	2019-01-01
5667255	Vincenzo Patterson	M	1-979-155-1093	605 Academy St.	West Orange, NJ 07052	VPATTERSO	BSSWE	FR	2020-09-01
5168505	Heather Lane	F	1-627-134-9563	3 E. Mayfair Ave.	Temple Hills, MD 20748	HLANE	BSSWE	FR	2018-01-01
5823364	Tsurue Koizumi	M	1-923-748-9843	975 Wayne St.	Bowie, MD 20715	TKOIZUM2	BSSWE	FR	2020-09-01
5166513	Geoff Melanson	M	1-686-893-9576	9187 Fremont Ave.	Dacula, GA 30019	GMELANSON	BSSWE	FR	2018-01-01
5678219	Glenda Jamieson	F	1-747-547-7182	7877 Berkshire Court	La Vergne, TN 37086	GJAMIESO3	BSSWE	FR	2021-01-01
5650645	Tsuneo Kuroiwa	M	1-216-485-4350	5 Pulaski Dr.	Belmont, MA 02478	TKUROIWA	BSSWE	FR	2020-09-01
5880577	Jose Byrne	M	1-612-554-6767	560 W. Brandywine Dr.	Chicopee, MA 01020	JBYRN3	BSSWE	FR	2021-05-01
5491509	Santiago Lee	M	1-446-180-6592	7776 Gates Rd.	Daphne, AL 36526	SLE1	BSSWE	FR	2020-09-01
5535122	Andres Williamson	M	1-389-189-9632	9977 Oxford Street	Fresh Meadows, NY 11365	AWILLIAM3	BSSWE	FR	2020-01-01
5129539	Carol Garrett	M	1-463-946-1323	268 Redwood Court	East Orange, NJ 07017	CGARRETT	BSSWE	FR	2018-09-01
5163749	Arthur Lester	M	1-181-284-9599	8023 Willow Drive	Sanford, NC 27330	ALESTER	BSSWE	FR	2017-01-01
5761862	Kent Robitaille	M	1-639-829-7483	7214 Oak Lane	North Attleboro, MA 02760	KROBITAIL	BSSWE	FR	2020-09-01
5643925	Maria-Pilar Ramon	F	1-519-596-5092	88 St Paul Lane	Leland, NC 28451	MRAMON	BSSWE	FR	2019-09-01
5690569	Rolando Wolfe	M	1-369-425-5977	96 Rockledge St.	Dunedin, FL 34698	RWOLFE	BSSWE	FR	2020-09-01
5509629	Lester Pena	M	1-777-828-9641	31 Warren Street	Bel Air, MD 21014	LPEN2	BSSWE	FR	2020-01-01
5217493	Genevieve Hughes	F	1-595-838-5929	70 Shipley Drive	Fayetteville, NC 28303	GHUGHE1	BSSWE	FR	2018-09-01
5007588	Christie Chartier	F	1-832-773-4848	981 W. Wayne Street	Green Bay, WI 54302	CCHARTIER	BSSWE	FR	2016-05-01
5026398	Jordan Dudley	M	1-897-710-6796	359 Pierce Ave.	Brick, NJ 08723	JDUDLEY	BSSWE	FR	2016-09-01
5331132	Alberta Morelos	F	1-558-865-5862	212 Fulton Street	Galloway, OH 43119	AMORELO3	BSSWE	FR	2018-09-01
5137291	Merle Quinn	M	1-915-548-8910	62 Pawnee Street	Hoboken, NJ 07030	MQUIN1	BSSWE	FR	2017-09-01
5383168	Ludomir Mazur	M	1-267-346-6533	9325 North Greenrose St.	Cartersville, GA 30120	LMAZUR	BSSWE	FR	2020-01-01
5703902	Sandi Donovan	M	1-986-635-7767	39 St Louis Avenue	Helena, MT 59601	SDONOVAN	BSSWE	FR	2020-09-01
5768127	Rachel Fontaine	F	1-343-857-4688	690 Vermont Street	South Richmond Hill, NY 11419	RFONTAINE	BSSWE	FR	2021-01-01
5484194	Yvette Landry	F	1-849-115-5000	950 Helen St.	Kissimmee, FL 34741	YLANDRY	BSSWE	FR	2018-09-01
5383923	Emanuel Zamora	M	1-494-573-2061	81 Forest Dr.	Nutley, NJ 07110	EZAMORA	BSSWE	FR	2019-01-01
5947145	Joesph Berry	M	1-533-918-5511	8 Rockledge Lane	Dorchester Center, MA 02124	JBERRY	BSSWE	FR	2020-09-01
5711606	Leonard Robillard	M	1-365-913-5650	7936 Applegate Street	Coram, NY 11727	LROBILLAR	BSSWE	FR	2020-09-01
5476717	Alana Drolet	F	1-953-158-9448	9570 Evergreen Ave.	Henrico, VA 23228	ADROLET	BSSWE	FR	2018-09-01
5617161	Isaac Hall	M	1-226-888-4101	59 El Dorado Lane	Beachwood, OH 44122	IHALL	BSSWE	FR	2019-09-01
5262235	Kirk Dougherty	M	1-786-258-4654	7027 Magnolia St.	Basking Ridge, NJ 07920	KDOUGHERT	BSSWE	FR	2018-09-01
5329690	Miaomiao Yan	F	1-173-132-7146	293 Mayflower Street	Zeeland, MI 49464	MYAN	BSSWE	FR	2017-09-01
5248765	Sylvia Blais	F	1-597-848-5367	163 Vale Street	Midland, MI 48640	SBLAIS	BSSWE	FR	2019-01-01
5499015	Dana Veilleux	M	1-562-715-9977	738 West Morris Street	Lincoln, NE 68506	DVEILLEU2	BSSWE	SJ	2020-01-01
5767323	Marc Barnett	M	1-529-813-2619	94 N. Wentworth Drive	Hollis, NY 11423	MBARNETT	BSSWE	FR	2021-05-01
5878034	Cherie Sparks	F	1-964-811-9435	426 Golf Court	Cottage Grove, MN 55016	CSPARKS	BSSWE	FR	2020-09-01
5240729	Sonja Clifford	F	1-961-928-9871	991 Virginia St.	Marshfield, WI 54449	SCLIFFORD	BSSWE	FR	2017-09-01
5405538	Kara Wilkins	F	1-777-972-2200	191 Prince Ave.	Mundelein, IL 60060	KWILKIN3	BSSWE	FR	2020-01-01
5157228	Marina Bryan	F	1-545-621-5968	912 SE. Ryan St.	Malden, MA 02148	MBRYA2	BSSWE	FR	2018-01-01
5305192	Roger Preston	M	1-337-432-4896	692 Gulf Street	Chester, PA 19013	RPRESTON	BSSWE	FR	2018-09-01
5931264	Haywood Nichols	M	1-839-927-3737	82 Prince Dr.	Riverview, FL 33569	HNICHOLS	BSSWE	FR	2021-05-01
